Treatment,Nucleus Mean Intensity,Nucleus Area Size,Nucleus Roundness,Nucleus Texture Variance,Texture_Variance_DNA_3_00_256,Texture_Variance_DNA_3_01_256,Texture_Variance_DNA_3_02_256,Texture_Variance_DNA_3_03_256
control,0.027898071,12896,0.718455384,0.892086997,0.897068032,0.889671286,0.898221432,0.883387239
control,0.023184708,13217,0.734503734,0.824974901,0.836629636,0.814450026,0.830994913,0.817825029
control,0.02570442,12721,0.548189564,0.447420087,0.450737204,0.443998732,0.44838766,0.446556752
control,0.025940138,24163,0.457746972,1.687131603,1.68854465,1.675973428,1.70524841,1.678759923
control,0.025166625,15423,0.736352842,0.318433985,0.320729852,0.317423537,0.317977968,0.317604583
control,0.024518494,14730,0.73847214,0.449957157,0.454066625,0.45137936,0.451374166,0.443008477
control,0.02185506,15641,0.571916933,0.274505209,0.274828325,0.27435066,0.274657159,0.274184692
control,0.024588681,13116,0.558425303,1.536194951,1.539860183,1.531179602,1.544383088,1.52935693
control,0.028186545,19479,0.410468278,0.765022242,0.7748204,0.75683818,0.770570609,0.757859781
control,0.032431235,23786,0.737628735,1.358027069,1.40005208,1.330384522,1.357638423,1.344033253
control,0.027075687,24314,0.359657178,0.655530086,0.664638265,0.651782604,0.660044016,0.645655459
control,0.033592737,24365,0.710111982,2.090530612,2.116542256,2.052897571,2.103426674,2.089255949
control,0.034612573,18311,0.766498012,4.471922255,4.487081298,4.418278109,4.500082057,4.482247554
control,0.029009373,15191,0.758327535,0.668400764,0.675318497,0.668004598,0.669792041,0.660487919
control,0.037277714,17420,0.301200296,1.233078787,1.237076847,1.226329941,1.237581606,1.231326752
control,0.025988593,14726,0.637423799,0.426641558,0.430425013,0.421970406,0.428145984,0.426024829
control,0.043025816,20459,0.60284231,5.121703238,5.191371828,5.017391429,5.179256007,5.098793689
control,0.026381792,14926,0.603537518,0.476214561,0.476967083,0.472109016,0.479180999,0.476601145
control,0.021487168,15976,0.497168112,0.513104534,0.51622618,0.507408351,0.52594845,0.502835156
control,0.032253495,13904,0.812380977,2.277362511,2.271675512,2.242889633,2.359937844,2.234947054
control,0.019040285,16729,0.35960889,0.276882971,0.279107992,0.274765421,0.277639319,0.276019151
control,0.020615522,13231,0.754037408,0.517776109,0.522738217,0.504841112,0.521838497,0.521686611
control,0.025915712,15211,0.745985386,0.617170846,0.618396713,0.612951748,0.625735776,0.611599146
control,0.018236745,16460,0.438122684,0.265750548,0.267059257,0.264791022,0.266029273,0.265122639
control,0.021433047,18709,0.704922568,0.669202252,0.671202284,0.661694211,0.677898391,0.666014123
control,0.029494858,22018,0.644025939,1.60698437,1.637479609,1.584474415,1.612512199,1.593471259
control,0.024028081,14317,0.657635339,0.870454142,0.871989075,0.871650625,0.893996513,0.844180356
control,0.026492197,17334,0.643031199,4.919496945,4.943465513,4.874424875,4.934504188,4.925593204
control,0.030842895,17948,0.664575148,1.218924286,1.24655675,1.204371217,1.211090436,1.213678742
control,0.023427963,18082,0.66219781,0.976301918,0.987676422,0.954816454,0.981226515,0.981488279
control,0.042201889,19319,0.547852357,2.530639648,2.541239713,2.515004533,2.54051798,2.525796365
control,0.032347024,17814,0.565702973,0.795644514,0.801743296,0.794761657,0.797441636,0.788631467
control,0.056336682,14817,0.478275026,71.14517051,70.98373358,71.24513489,70.97404926,71.37776433
